Label,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12
1,1.565,0.871,-0.098,2.768,-1.008,0.736,0.697,-1.578,0.320,-1.498,-1.005,-1.225
0,2.956,0.259,-0.516,0.921,-1.111,1.188,-1.441,-0.754,0.049,-0.181,0.631,-2.334
1,-1.577,1.490,0.164,-0.594,1.130,0.030,-0.508,0.720,-1.376,1.084,0.376,-1.626
0,-1.189,2.550,0.181,1.370,1.256,0.162,-1.987,-1.436,-0.606,-0.992,0.432,-1.437
1,1.434,-1.731,0.103,-1.088,2.252,0.309,1.384,0.113,1.080,-0.098,-0.675,1.195
0,0.437,-0.915,-0.774,-0.060,0.525,0.136,-0.801,0.006,-1.380,-0.790,2.629,-0.675
1,-1.891,0.489,-0.534,-0.783,0.175,0.045,-1.421,0.237,1.259,1.016,0.836,0.023
0,-0.657,1.007,-0.701,0.432,-0.249,-2.009,0.383,-1.640,-0.915,-1.071,-1.395,-2.412
1,-0.430,-1.880,-0.726,0.506,1.175,0.364,-1.172,-2.031,1.075,-1.511,-1.230,-0.341
0,1.484,0.557,1.472,1.611,0.774,0.441,0.237,0.372,1.719,1.085,-0.085,-0.546
1,1.035,-0.993,-0.764,1.239,0.335,-1.550,-0.157,-0.917,-0.289,0.311,-3.057,0.489
0,-0.066,0.056,-1.019,0.138,-1.988,1.030,-1.105,0.916,-2.529,-0.588,-0.423,-0.591
1,-0.494,0.822,1.694,-0.302,0.609,-1.337,3.191,0.061,0.786,-0.765,-2.044,0.413
0,0.035,0.292,-0.775,-0.086,-0.216,0.715,1.272,-0.007,0.431,-0.276,-0.597,-1.969
1,-0.289,-0.802,0.708,-1.472,-0.158,1.635,-1.891,1.330,0.530,1.389,-1.413,-0.687
0,-2.495,0.740,-0.413,-0.173,-1.725,1.177,-1.386,0.611,-2.233,0.517,0.168,-0.712
1,-0.965,-0.820,-1.032,0.502,0.215,-1.053,0.230,2.395,-0.903,2.660,2.088,-0.172
0,-0.611,-0.821,0.780,0.979,0.462,0.317,1.644,-1.382,0.377,0.368,0.009,0.979
1,-1.013,-1.219,-1.001,2.976,-1.123,-0.027,-0.528,1.277,0.584,0.729,0.268,-0.540
0,1.497,-0.905,-0.470,-0.722,-0.475,-1.300,1.095,-0.736,-1.201,-0.693,-2.176,0.558
1,1.916,-0.432,0.902,1.399,0.836,-0.535,2.955,-1.089,0.043,-0.847,-1.011,-1.032
0,0.770,1.169,-1.519,1.037,-0.213,-0.768,-0.310,-1.852,1.401,-2.527,-0.113,-1.549
1,-0.684,-1.859,-0.142,-0.757,-0.131,2.241,-0.364,2.429,-1.120,-1.525,-0.303,-2.340
0,0.166,0.732,0.635,1.121,0.375,-0.468,-3.103,0.715,-0.574,-2.425,1.299,0.582
1,1.157,0.896,1.690,-2.620,2.129,0.369,1.343,2.669,-0.580,-1.208,-1.285,-0.956
0,-0.790,0.907,0.531,-0.942,0.654,0.602,-0.561,0.303,-1.360,-1.313,-1.587,-0.945
1,-0.859,0.631,-3.151,0.057,-0.198,-0.402,-1.187,0.804,0.116,-0.154,-2.629,0.074
0,-1.598,-0.417,-0.720,0.997,0.965,-1.222,-0.152,-1.854,-0.270,-0.560,-1.319,3.259
1,0.158,-0.413,0.170,1.169,0.299,1.944,-1.093,0.073,1.267,1.342,0.138,-1.863
0,1.250,-1.384,0.469,-0.000,-0.161,0.234,0.010,-0.386,0.424,0.840,-0.139,-0.621
1,2.116,0.596,0.591,0.882,0.311,1.264,-0.160,-1.180,2.839,-0.377,3.101,-0.452
0,0.993,1.078,-3.017,0.158,-0.429,-0.527,0.667,-1.424,-0.183,0.251,-0.053,-0.400
1,-0.045,2.181,1.785,1.764,-0.521,0.669,1.163,-0.316,-1.736,-0.011,-0.276,-0.498
0,-2.051,-0.198,1.283,-1.973,-0.365,-0.432,-1.710,0.149,0.874,-0.708,-1.040,0.670
1,-0.267,0.647,-0.962,-1.587,0.055,0.967,0.085,0.750,1.271,1.178,0.405,1.347
0,-0.193,-0.546,-1.754,1.230,-0.498,-0.183,0.606,0.161,-1.835,1.143,-1.233,-3.782
1,-0.554,-1.469,0.359,-0.907,1.372,-1.479,-1.252,0.092,-1.109,-1.151,0.732,0.422
0,-1.020,-1.015,-0.154,1.008,-0.345,1.273,-0.587,-2.441,0.737,-2.096,-1.742,2.701
1,-1.163,-0.763,0.843,1.615,1.057,-2.114,1.568,0.073,0.115,0.054,1.413,-1.855
0,-0.058,-0.448,0.479,-1.379,-1.354,-0.269,2.715,-0.599,-0.217,0.287,-1.979,-1.013
1,1.470,-0.230,-0.484,-0.156,-1.370,-0.851,-0.544,-0.416,1.434,-1.006,-0.762,-2.427
0,2.861,-0.106,-0.414,-0.050,-0.191,1.858,-1.551,-1.146,-0.293,-1.853,0.949,-1.353
1,-0.975,-1.373,1.194,-2.440,-0.108,0.812,-1.118,-0.649,-0.268,-1.300,0.880,-3.233
0,0.159,1.006,-0.701,0.126,-0.342,0.336,-1.117,-0.743,0.452,0.239,0.050,-2.054
1,0.773,-1.211,1.196,-0.758,0.578,0.188,0.405,-0.118,2.401,-1.109,-2.245,-1.821
0,0.082,-0.006,-1.533,1.492,-0.274,-0.745,1.239,-0.627,-0.841,-1.723,0.145,-0.818
1,-0.395,-0.131,-2.169,-0.365,1.654,0.335,-0.422,0.696,1.423,1.232,0.277,-0.705
0,0.110,0.712,-0.824,-0.084,-0.332,-0.882,0.053,2.035,-0.298,-0.614,-0.015,1.010
1,-0.022,-1.890,2.037,-1.927,-0.064,1.034,-1.078,-1.844,-0.399,0.895,-0.482,-0.652
0,0.308,0.744,0.248,-0.998,-1.189,-0.501,0.180,-0.233,-0.300,0.432,-0.378,-0.804
1,-0.922,0.319,1.712,1.139,-0.453,1.124,2.394,-0.927,1.666,-1.786,1.125,1.764
0,0.971,0.419,-2.558,0.809,-0.619,1.172,-1.558,1.015,-0.374,-0.172,-0.523,-0.266
1,-1.089,0.762,-0.125,0.276,-1.943,-0.976,0.710,2.033,0.734,3.094,-2.453,1.360
0,-0.366,1.220,0.470,-0.879,1.308,-1.412,-0.134,0.322,0.611,-0.260,0.011,3.332
1,1.745,-0.411,1.247,-3.256,-1.190,0.073,-1.350,0.713,0.510,0.509,0.151,-0.725
0,-2.562,-0.259,-0.361,0.413,-1.936,-0.352,-1.399,1.264,-2.851,0.939,-0.719,1.250
1,0.516,-0.214,-2.528,1.791,0.574,-1.122,0.621,1.014,-0.978,0.545,1.609,1.518
0,2.049,-0.269,0.947,1.797,0.233,1.063,-0.634,-0.452,-0.430,-0.309,0.587,0.879
1,-2.262,1.226,0.569,1.725,0.518,2.884,-1.254,0.994,0.833,0.372,1.299,-0.255
0,-0.318,0.724,1.934,0.565,0.696,1.338,2.359,-0.470,-1.837,-0.090,-1.417,0.309
1,0.406,1.472,-0.445,2.576,0.423,-0.222,-1.070,-0.760,0.402,0.074,-0.555,-0.064
0,1.356,-0.386,-0.235,1.705,-1.387,0.760,-0.252,-0.457,0.712,-1.433,0.240,0.784
1,-0.506,1.185,1.691,-0.164,0.370,-0.526,-0.249,1.885,-0.561,-0.554,0.718,0.469
0,0.112,-1.211,0.353,-0.060,0.370,2.310,-0.880,0.311,-0.074,0.426,2.464,0.593
1,-1.792,1.834,-0.108,0.267,0.981,0.874,0.880,0.447,2.030,-1.874,-2.571,0.393
0,-1.243,-0.027,0.480,-0.102,-1.909,-1.608,1.139,0.700,0.051,-0.225,-0.632,-1.628
1,-0.262,-0.277,0.278,-1.401,-0.689,-0.818,-0.259,-1.221,2.057,-0.025,-2.815,-1.308
0,-0.167,1.482,-0.881,0.037,-0.121,0.189,0.329,1.708,-0.658,-0.118,-0.241,1.848
1,0.464,-2.055,0.660,0.993,2.307,0.651,1.113,-2.406,1.045,-0.699,0.101,-1.236
0,0.704,1.560,-0.246,-0.861,-0.034,-0.013,-0.782,0.401,-0.842,-0.420,0.900,-0.187
1,1.360,-3.016,0.331,-0.630,1.725,0.291,0.014,-1.283,0.721,-1.050,0.294,-0.424
0,0.482,-0.383,-1.249,-0.601,-2.349,-0.370,-2.084,1.954,1.219,0.512,1.192,-0.558
1,-0.423,0.917,1.569,0.029,0.208,-0.156,1.114,-0.307,-0.859,1.030,1.242,-0.834
0,-0.657,0.921,1.123,-1.102,0.376,1.187,-1.380,1.206,-0.243,1.768,-1.045,-0.667
1,0.253,-0.695,-0.101,-1.654,1.411,1.056,-1.614,0.574,0.625,0.139,-1.125,0.163
0,-0.868,-0.454,1.542,-0.660,-1.303,0.440,-1.077,-0.988,0.670,1.011,-2.386,-1.605
1,-0.448,-2.032,0.257,-0.095,-1.200,-0.209,-0.181,0.345,0.609,1.458,1.886,-1.238
0,-1.216,-1.922,1.369,1.903,1.089,2.385,-0.790,-0.548,-0.579,-1.440,-1.256,0.500
1,-0.612,-0.881,3.469,1.390,-2.610,0.258,-0.316,-0.184,0.653,-1.011,0.126,-1.032
0,-0.185,2.111,-1.729,-1.121,-1.079,0.403,-0.381,-0.684,-0.887,0.292,-1.199,-0.110
1,-0.167,1.782,0.602,-0.547,-1.014,-0.994,0.324,1.275,1.819,-1.280,-0.715,-2.557
0,1.640,0.545,-0.030,0.608,-0.457,0.250,0.140,-0.164,0.347,0.459,1.478,0.117
1,-1.133,-0.316,0.164,-0.647,1.017,2.090,-2.482,-0.742,-0.150,-0.422,-0.384,1.133
0,-1.282,-0.774,0.186,-0.162,0.664,-0.575,0.727,-1.392,0.250,-0.868,-0.340,-0.498
1,0.142,-1.370,0.402,0.246,1.225,0.330,1.388,2.342,0.808,0.398,-0.976,-3.040
0,-0.545,2.963,0.988,0.589,-1.043,0.404,2.096,1.848,-0.799,-0.427,2.012,-2.398
1,-0.430,-0.100,-1.755,-0.704,-2.808,-0.492,-1.303,-0.516,-0.521,0.597,-0.950,-0.553
0,-0.826,1.527,-1.216,0.643,-0.413,-0.252,0.222,2.271,2.223,0.228,-1.009,0.534
1,-0.579,-0.906,0.721,0.591,0.674,0.611,-0.844,2.677,1.839,-0.014,-0.666,0.183
0,0.914,-0.313,0.175,0.481,1.052,0.210,-0.454,0.725,-1.750,1.077,1.552,-0.969
1,0.199,0.171,0.727,0.847,0.823,0.309,-0.478,-0.673,0.966,-1.381,1.441,-1.203
0,0.390,-0.422,-2.229,-0.089,-0.000,1.014,-0.517,1.676,-1.025,-0.433,1.041,-0.315
1,-1.299,2.538,1.213,-0.922,-0.951,1.722,1.152,-0.703,-0.173,-2.639,-0.825,1.028
0,-0.518,-0.581,-1.200,-1.269,-2.255,-1.309,-0.400,-0.580,2.526,1.633,-1.146,0.753
1,1.379,-0.499,-1.197,-0.092,0.041,0.442,-1.242,1.947,-0.151,0.685,-0.720,0.974
0,-0.952,-0.520,1.072,-0.378,-0.525,0.232,-0.741,0.291,0.981,0.814,0.180,-0.935
1,1.042,-2.161,-0.836,1.384,-0.410,-0.274,-0.570,0.763,-0.389,1.011,0.947,0.706
0,-1.586,0.181,1.316,0.811,0.065,1.261,-0.644,-0.702,2.169,-0.008,-1.161,-0.349
1,-0.054,-1.114,-1.053,-0.415,-2.051,-0.081,0.248,-0.904,-0.351,0.582,0.474,1.415
0,0.022,1.574,-1.053,0.152,0.527,1.456,0.341,-1.632,-0.551,0.402,-0.422,0.024
1,1.004,0.441,-0.038,-0.121,-2.496,2.076,-0.907,0.957,1.233,-1.438,0.041,0.721
0,1.050,-1.352,0.728,0.327,-0.282,0.274,-0.647,0.708,0.067,-3.046,-0.319,0.601
1,-2.007,2.334,0.425,-1.216,0.667,1.430,-1.374,1.662,-2.233,-0.971,0.572,-2.249
0,-0.862,0.208,0.332,0.034,-0.123,0.161,0.291,-0.222,-0.376,-1.873,0.721,-0.577
1,1.217,1.012,1.047,-0.197,-0.695,0.133,-0.073,-1.845,1.286,-1.553,-0.347,-3.620
0,-0.119,1.569,0.909,-0.618,0.201,0.476,1.840,3.199,-0.404,-1.739,-2.159,-0.817
1,-0.637,0.071,-0.507,-0.807,-2.240,-1.205,-0.187,0.675,-1.366,1.317,-0.992,-0.037
0,-0.029,0.022,-1.186,0.419,1.626,-0.938,-0.610,1.328,2.160,1.089,-1.522,1.560
1,-0.586,-0.609,0.581,0.150,1.466,0.178,0.091,-0.997,-0.610,1.721,-0.402,0.116
0,1.478,0.780,2.057,-0.490,-0.277,0.357,1.255,-0.528,-0.955,-0.228,0.494,0.069
1,1.757,-1.280,-0.709,-0.068,-0.946,1.310,1.777,-0.677,-0.451,-0.168,-0.144,1.780
0,0.130,0.465,-0.258,0.584,-1.336,-0.715,-1.721,0.423,-3.332,0.144,-0.916,-1.689
1,-1.523,-0.122,0.044,-0.583,1.615,0.942,-0.996,0.099,1.492,0.373,-0.152,1.242
0,-0.414,-0.186,-0.739,1.087,-1.140,-0.206,-1.020,0.194,0.346,-0.698,-0.866,0.289
1,-0.693,-0.159,-0.931,-2.800,1.006,0.282,-0.210,2.196,1.258,2.349,-0.572,-0.849
0,-0.941,-0.912,0.142,0.326,-0.755,2.629,-0.781,1.216,-1.990,-0.047,-1.127,-0.788
1,1.502,0.165,-1.321,-0.119,-0.608,-1.606,-0.416,1.492,-0.681,-0.908,0.264,0.929
0,-0.728,0.747,1.604,0.902,0.166,1.205,-0.181,0.658,2.593,-0.179,-1.162,-1.074
1,1.986,0.889,-0.722,1.404,0.921,-0.950,0.669,0.749,0.199,0.548,0.423,0.172
0,0.654,1.370,0.650,-1.469,0.829,0.818,0.124,-0.642,-0.892,0.833,-0.670,-0.099
1,0.691,0.507,-0.251,0.521,0.078,0.563,0.013,0.260,2.246,-0.896,-0.499,-1.613
0,1.925,0.524,-0.531,2.633,-0.342,0.217,-0.589,0.993,0.258,-2.238,0.184,0.594
1,-1.642,0.733,0.036,-0.040,-0.169,0.264,-1.005,1.292,0.049,-1.110,1.824,0.769
0,-1.100,-0.964,-0.856,0.869,0.811,0.821,-2.101,-0.255,-0.309,-0.671,2.026,-1.769
1,-1.019,-0.844,0.396,1.056,1.106,-0.410,0.821,0.777,0.676,-1.155,-1.744,-0.796
0,-0.177,0.032,-1.037,1.425,2.275,0.085,-1.605,0.525,0.026,0.383,0.263,-0.943
1,0.748,0.246,-2.996,0.187,-2.578,-0.768,-0.791,-3.660,-0.648,2.533,-0.729,-0.246
0,-0.248,0.210,-1.043,0.048,1.020,0.203,1.695,-0.600,0.853,-0.988,-0.575,-0.488
1,0.132,-0.923,0.371,-0.385,0.024,0.985,-1.872,-0.519,1.143,0.870,-0.723,-0.469
0,1.838,0.564,0.459,1.223,1.627,0.360,0.881,-0.197,-0.316,0.269,0.825,-1.713
1,-1.064,-0.151,0.464,1.272,-0.302,0.517,2.334,-0.359,0.788,-0.256,0.945,2.906
0,-0.118,-0.924,-2.293,0.051,-1.044,1.216,-0.841,3.929,-2.245,-1.597,-0.654,0.473
1,-0.807,0.896,0.755,0.714,-1.971,0.494,1.735,-0.720,-1.125,1.468,0.602,0.031
0,-0.419,-0.572,1.417,-1.355,-0.792,0.959,0.389,0.883,0.672,1.181,-0.510,1.869
1,0.958,-0.310,-1.629,-1.011,-1.960,2.333,-1.017,-1.207,0.518,1.663,-1.560,0.620
0,-1.484,-0.525,0.235,0.582,-0.896,1.726,-1.207,-1.177,-1.931,0.720,0.754,-0.082
1,0.665,-1.069,1.634,2.403,0.429,-0.777,1.352,0.061,0.577,0.372,0.354,0.500
0,-1.248,-1.191,0.395,2.518,-0.531,-0.094,1.294,-2.388,0.792,0.023,-1.625,0.582
1,-0.118,-0.553,-1.018,0.090,-0.496,-1.396,-0.162,0.265,-0.315,1.296,1.488,0.436
0,0.854,3.106,0.035,0.456,0.684,0.037,0.380,-1.667,-1.319,0.824,-0.883,-0.442
1,1.517,-0.052,-1.453,0.018,1.277,-2.252,-0.199,-0.501,0.774,-1.403,-1.934,-0.803
0,-0.409,0.541,-1.235,-0.450,-1.212,-0.510,-1.039,0.180,0.461,-0.436,0.809,2.455
1,-1.526,0.645,2.310,-0.584,-0.539,1.672,-0.778,1.128,-1.927,-0.798,0.449,-0.323
0,0.710,0.560,1.136,-1.137,-1.066,-1.673,-2.285,-0.184,-0.693,0.274,0.158,-0.132
1,-1.726,0.396,1.721,-1.066,1.219,-0.200,0.571,1.449,-0.805,-0.341,-0.624,-1.588
0,-1.637,-0.181,-1.596,-0.153,0.943,-0.014,-1.032,1.358,-1.232,-0.806,1.166,-1.622
1,-1.050,-0.108,-0.842,-0.342,0.719,-0.388,-1.134,0.046,-0.008,-0.437,-1.043,-0.164
0,-2.058,-0.103,-1.492,0.060,1.127,0.967,0.323,2.692,-3.681,-0.215,0.284,1.769
1,-1.232,0.704,0.721,-0.493,-0.463,0.804,-0.877,-2.980,-1.875,0.358,0.105,0.157
0,2.808,4.705,1.371,-1.155,3.186,0.235,0.539,-1.242,-0.324,0.259,1.505,-1.761
1,0.482,-0.957,1.161,1.233,-0.649,0.428,-1.218,-0.776,1.037,-1.125,1.666,0.112
0,0.479,-0.109,0.553,0.369,-0.572,0.554,-1.050,1.308,2.210,-1.025,0.239,1.296
1,-2.729,2.128,0.625,-0.282,-2.356,-1.470,0.860,-1.795,0.057,0.436,0.795,0.322
0,0.763,-0.080,-0.738,-0.525,0.372,-1.994,-0.157,0.829,0.336,-0.608,-3.019,1.131
1,0.526,-0.025,-0.476,-3.427,0.199,-0.049,-1.764,0.682,-0.040,-1.809,0.336,-0.720
0,-1.094,-0.730,1.205,-0.624,-0.322,-0.395,-0.110,0.883,-0.713,1.131,-0.018,-1.507
1,-1.084,-2.296,-0.631,-1.760,-0.300,0.462,0.294,-0.747,-1.089,-1.422,2.267,0.142
0,-1.092,-1.666,0.642,1.408,-1.271,0.333,0.735,-0.963,1.900,-1.348,-1.105,1.260
1,0.669,-0.307,-0.626,0.774,0.110,-1.384,-0.715,-1.096,-0.347,2.693,-2.286,-0.854
0,-1.065,1.078,1.491,-1.222,1.705,0.758,1.979,-0.283,-1.462,0.316,0.363,-0.463
1,1.323,0.563,-0.927,-1.516,-0.748,0.406,2.180,-0.794,-0.813,-1.984,0.250,1.649
0,0.802,0.491,-3.259,1.352,-0.692,-0.365,-0.571,-0.066,1.811,0.544,0.450,-0.037
1,-1.957,0.099,-0.904,-1.452,-0.018,1.226,-0.725,-1.324,-1.199,-0.697,0.562,-2.097
0,-0.305,0.439,0.231,0.514,2.900,0.624,1.859,-0.188,0.253,-0.980,0.017,-0.194
1,-2.877,-0.706,1.331,0.121,0.559,-0.023,1.399,-0.457,1.342,0.017,-0.734,-0.411
0,1.075,-0.501,0.600,0.851,1.066,0.355,-1.132,0.858,0.302,-1.356,0.072,-0.811
1,-0.044,0.135,0.718,0.417,-0.504,-0.049,0.592,1.137,1.966,1.410,-1.330,1.050
0,-0.542,-0.485,-0.664,-0.555,0.276,1.623,0.600,-1.806,-0.931,0.072,-1.667,1.866
1,0.353,0.247,1.218,-0.270,1.504,0.394,0.163,-2.102,0.411,-0.844,0.065,1.375
0,-0.531,-0.251,0.736,-0.649,0.340,-0.299,1.563,0.658,-1.915,-0.284,0.747,-1.702
1,-0.024,-0.807,-0.527,0.357,0.301,1.153,0.616,-1.368,2.506,-2.096,2.636,-1.111
0,-0.254,0.258,1.052,1.488,-1.119,-0.659,0.741,-2.169,-1.905,1.015,-1.236,-0.738
1,0.275,-0.265,-0.233,2.615,0.424,0.603,1.560,0.763,-2.610,-0.309,-1.374,2.204
0,-1.390,0.473,0.320,-1.714,-0.634,-0.054,-0.826,1.663,0.277,0.447,-0.679,0.037
1,0.309,-0.346,-0.198,-1.048,0.863,1.455,-2.007,1.389,1.356,0.449,-1.238,1.562
0,-1.756,-0.236,-0.826,1.194,-0.949,0.693,-0.091,-0.806,0.313,1.275,-1.723,-2.107
1,0.443,-1.073,0.612,1.577,0.569,-0.157,-0.773,0.763,0.202,-1.553,0.105,0.709
0,-2.843,-0.471,0.722,1.782,-0.672,1.776,0.083,-0.539,0.899,0.092,-1.937,0.855
1,-2.049,-0.262,2.211,-0.036,-0.566,-2.021,-0.883,-0.274,1.305,-2.041,0.722,-1.136
0,-0.049,-1.055,0.943,0.429,0.502,0.201,-2.488,-0.685,0.702,0.121,-2.042,0.121
1,0.297,1.229,0.078,-0.250,1.628,0.034,0.514,-0.408,-0.557,-0.522,-0.948,0.251
0,2.534,1.354,-0.826,3.084,-1.574,0.396,-1.287,0.377,0.137,0.802,1.222,0.853
1,-0.763,-0.650,-0.163,-0.304,0.175,0.334,-1.113,1.063,0.015,-0.991,1.028,0.111
0,-0.057,-1.291,2.254,-0.334,0.445,-0.918,2.434,0.966,-1.274,0.052,-0.630,-0.582
1,-0.311,1.030,0.186,-1.771,1.472,-0.238,1.444,1.018,0.640,1.167,0.860,-1.477
0,-0.970,1.799,0.794,-1.385,-1.981,0.474,-0.464,0.526,-2.254,-1.138,0.641,-0.645
1,-0.337,0.034,0.550,0.024,-0.746,0.289,-2.118,1.150,-0.085,-0.709,-1.655,-0.550
0,-0.217,0.780,-0.022,0.722,0.387,0.275,-2.232,-1.278,2.330,0.186,-0.261,1.447
1,-0.999,-2.466,0.114,1.485,1.152,-0.155,-1.720,-0.382,-0.631,-0.713,-0.362,-0.667
0,1.434,-1.407,0.623,1.291,-0.414,0.574,0.443,0.162,-0.730,0.770,1.181,0.138
1,-0.427,-0.286,0.900,0.332,-0.678,1.026,-3.185,-1.441,0.691,-0.653,0.966,0.374
0,-0.496,0.553,0.553,1.078,0.574,-1.434,0.050,0.347,1.412,0.096,0.730,-1.528
1,-1.573,0.583,0.810,0.562,-1.586,2.719,2.064,-1.972,-0.170,-0.456,-0.868,2.565
0,-0.235,0.953,0.889,-0.022,-1.427,-0.188,2.434,1.235,-0.545,0.735,0.007,-1.807
1,0.484,-0.923,-1.369,-0.122,-0.432,0.820,-3.944,2.394,0.519,0.724,-1.162,-0.391
0,-0.115,-0.232,-1.780,0.746,-1.825,1.230,0.267,0.511,-1.792,-0.064,-0.013,-0.593
1,1.786,-0.951,-0.448,0.457,0.271,-0.342,0.705,-0.090,-1.101,-0.272,0.367,1.078
0,-0.260,-1.436,1.473,0.527,-2.363,0.644,0.009,-0.820,-0.513,-2.788,-2.742,-0.775
1,-2.275,-0.621,-0.017,1.874,-1.021,-1.473,-0.025,0.473,0.570,-0.819,-0.186,-1.838
0,-0.038,1.033,1.961,-1.946,-1.171,-0.292,-0.096,-0.678,0.463,0.272,-0.747,0.936
1,1.011,-0.091,-0.419,0.835,-1.592,1.512,-0.052,0.760,0.157,0.113,-0.971,-0.295
0,0.239,0.361,-0.718,-0.206,-0.240,-0.073,-1.135,1.408,0.116,-1.067,1.510,2.893
1,-1.735,-0.172,-0.513,0.058,1.388,0.514,-1.826,0.328,1.235,1.219,1.129,-1.376
0,-0.514,-0.484,0.977,0.225,1.208,-0.849,-2.634,-1.364,-0.000,-0.556,0.226,-1.146
1,-1.584,3.000,0.019,0.068,1.358,0.936,-0.312,0.483,0.875,0.312,-1.025,-2.499
0,-2.152,2.320,-0.032,0.378,-1.302,-0.917,0.623,0.747,-0.019,-1.186,-0.779,-0.783
1,-1.566,0.518,2.591,0.074,-0.926,0.358,1.005,-0.942,0.294,0.197,-0.868,-0.282
0,0.053,0.319,-1.016,0.443,-0.267,-0.088,1.130,1.989,1.013,-0.203,1.041,1.022
1,0.043,-1.159,1.179,1.282,0.085,1.207,-0.299,-1.573,0.554,-0.395,0.285,-0.384
0,0.333,-0.180,1.296,0.336,0.430,0.063,-0.081,0.871,0.413,-1.010,1.919,-1.179
1,-0.029,-1.706,0.580,1.687,-1.264,1.014,-0.838,-0.512,1.253,-0.577,0.046,0.021
0,0.784,-0.251,-0.082,0.881,-0.235,1.008,-1.810,0.920,-2.775,-0.144,0.098,-0.480
1,-1.087,1.640,0.147,-0.587,1.420,2.009,-0.584,-0.338,0.525,-1.261,1.311,-0.144
0,0.283,1.225,1.004,-1.049,-0.642,1.469,-2.064,0.034,1.074,-0.378,-1.828,1.758
1,0.070,-0.055,-0.884,1.807,-0.573,-2.126,-1.092,2.251,0.994,-0.519,-1.742,-0.498
0,-0.740,-0.737,-0.145,1.816,-2.104,0.187,0.661,-1.970,-1.623,1.205,0.854,-0.555
