Label,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12
1,-0.428,-0.193,0.556,-1.588,-0.347,-1.105,-0.046,0.827,-0.825,-0.725,0.352,-0.989
0,-0.595,-1.280,0.325,0.223,2.536,-2.757,-1.401,-1.652,-1.538,-0.729,0.258,0.557
1,1.814,-1.011,-0.437,-1.869,0.962,1.723,1.759,-1.386,-0.116,-0.176,-1.562,-3.211
0,-1.757,1.917,0.542,1.607,-1.240,-0.913,0.129,1.347,-0.935,-1.232,-0.497,-0.747
1,-1.138,0.616,-3.103,-0.678,-0.428,-0.435,-1.171,-0.453,2.418,1.065,-0.994,-0.907
0,-0.862,0.681,-0.471,-0.203,0.897,-0.276,-1.071,0.555,0.432,0.495,-0.682,0.834
1,0.188,-3.222,0.274,1.560,0.538,1.747,0.537,-1.943,3.222,1.063,-1.491,-0.435
0,-0.948,1.390,1.665,0.140,-0.352,-0.254,0.131,0.636,-1.220,2.044,1.397,-2.117
1,1.843,-0.676,1.115,0.824,0.824,0.988,0.220,-0.957,0.099,-1.139,-0.583,2.141
0,0.695,-1.153,0.919,-0.844,-0.821,0.239,-0.893,-0.771,-2.706,0.163,0.823,-1.257
1,-1.065,2.343,-0.809,-2.268,-0.996,-0.388,2.464,-1.424,-0.137,-0.750,-1.015,0.728
0,0.036,0.658,0.545,-0.921,0.333,-0.060,-1.780,0.882,1.686,1.702,-0.804,-0.417
1,1.385,0.259,-0.492,-1.492,-1.551,1.901,-2.041,0.711,1.340,0.795,-0.171,-0.624
0,-1.945,0.202,0.230,1.244,-0.792,-2.368,-0.591,1.092,1.245,1.136,1.595,-3.553
1,-0.940,-0.344,-0.212,2.662,0.638,-1.572,1.395,1.169,-0.125,-1.406,-0.984,0.940
0,-0.399,0.955,1.141,0.020,0.576,2.228,-0.090,-0.124,1.625,-2.534,-2.168,1.465
1,-0.067,-1.279,-0.186,0.848,-0.135,-2.821,0.400,1.066,0.605,0.372,1.873,0.944
0,1.258,-0.468,0.952,-0.950,0.199,0.313,-1.918,-0.309,-1.475,0.034,-2.296,-0.781
1,1.113,0.681,-0.985,-0.626,1.033,-1.714,-1.051,1.640,1.015,-0.832,-0.746,0.166
0,2.075,0.822,-0.822,1.969,-1.424,1.309,-0.739,-1.665,0.559,1.027,0.662,0.574
1,-1.906,-0.829,0.036,-0.918,0.036,1.258,-1.355,-0.674,0.611,0.074,0.554,-0.570
0,-0.141,-1.329,-1.152,-0.196,-0.799,3.444,-1.042,-1.103,-1.204,-0.459,0.393,0.324
1,-0.582,-0.560,0.053,-0.305,-0.991,0.933,-0.601,0.346,-2.060,-0.656,-0.958,-0.539
0,-1.596,0.524,0.522,1.175,0.617,-0.455,-1.205,0.336,-0.388,-0.604,-0.266,-0.114
1,1.396,1.014,-2.882,-0.637,1.127,-0.663,0.904,-1.437,-0.333,-0.385,-1.357,-0.868
0,-0.144,1.209,-0.646,0.156,1.143,1.479,-0.394,-0.503,-1.517,-0.896,-1.345,0.699
1,-1.979,-0.112,1.276,-0.283,0.912,0.037,-2.616,0.023,-0.974,0.477,1.142,1.358
0,0.731,-1.727,-0.705,-0.552,1.440,-1.007,0.446,0.070,-0.063,-0.999,0.194,-0.283
1,-0.617,1.905,1.427,0.581,-1.386,0.638,0.344,-0.510,0.847,-1.655,-0.447,-0.568
0,0.176,-0.373,1.390,0.827,0.396,0.767,-0.711,1.938,-0.432,0.434,-0.749,-0.674
1,-0.244,0.515,0.580,1.023,-0.243,0.030,0.570,-0.150,-0.095,-1.340,-2.880,1.901
0,-0.917,1.373,0.632,0.117,0.228,0.190,-1.038,-0.415,1.415,-0.339,1.484,0.090
1,-0.161,0.299,-0.542,0.378,-1.638,0.792,-3.243,0.230,0.377,3.687,-0.119,1.297
0,-4.145,1.472,-0.896,0.837,-0.030,-0.176,0.845,-0.020,-1.237,1.418,1.133,1.216
1,1.547,-1.097,-1.977,-0.499,1.293,-1.563,-0.178,2.668,0.402,-0.260,0.628,0.414
0,0.967,0.357,1.191,0.497,0.093,-0.029,-1.330,-0.383,1.235,0.524,-0.876,1.039
1,-1.604,0.728,-0.905,1.147,-1.325,-1.892,0.187,-0.413,-0.096,0.105,1.486,-0.132
0,0.071,-0.074,0.110,-2.169,-0.709,0.357,-1.896,-1.284,-1.869,1.186,-1.219,-0.532
1,1.827,-0.210,-0.787,1.395,1.283,0.321,-0.227,-0.226,-0.865,-1.054,-0.805,-3.213
0,2.798,-0.410,-0.579,1.433,-1.015,0.341,-0.578,-1.505,-0.816,-0.652,-0.603,0.814
1,-1.783,-1.428,-0.173,-0.402,-0.928,0.083,-1.682,1.741,0.756,-0.246,0.633,-1.413
0,0.527,-0.932,0.138,0.480,0.476,2.507,-1.025,-1.118,1.102,-0.025,0.898,-0.485
1,1.465,-1.394,0.736,-0.912,0.309,1.172,1.743,-0.145,3.055,0.304,0.198,-0.444
0,1.367,0.872,-1.578,0.548,-0.781,1.478,0.148,-0.074,-0.321,-2.118,-1.841,-1.052
1,-2.535,0.325,-1.116,0.254,-1.171,-0.653,0.856,1.284,1.376,1.955,-1.515,-0.870
0,-1.077,0.389,-0.827,0.034,2.654,0.734,0.447,0.350,0.275,0.253,1.041,-0.848
1,0.470,0.892,-0.160,0.254,1.199,0.417,-2.914,-0.538,1.562,-0.690,-0.524,0.627
0,1.387,0.534,-0.115,-0.021,0.575,-0.346,-0.630,0.594,-1.387,2.830,1.442,-2.138
1,1.752,-1.399,0.389,-0.050,1.685,0.260,0.154,-1.257,0.787,0.155,0.644,0.546
0,0.796,1.458,-0.606,-0.121,-0.815,-0.867,-0.656,0.364,-0.159,-0.786,1.007,-0.180
1,-0.348,0.262,0.050,-0.133,0.706,1.342,2.753,0.949,0.592,1.061,-0.660,0.663
0,-1.430,0.484,0.780,-3.188,0.678,0.134,-2.526,0.157,1.445,0.471,-1.395,1.629
1,0.400,0.891,-0.472,-0.640,0.852,0.495,-3.041,0.147,1.612,3.157,-0.636,0.986
0,-1.048,-0.362,-0.882,0.389,-0.425,-0.237,-1.567,0.795,-0.129,1.585,0.128,-2.152
1,0.505,0.526,-1.598,-2.169,-0.101,-0.178,-0.632,-0.720,1.002,-1.954,-0.303,1.629
0,1.546,0.682,1.942,0.891,-0.540,0.280,-1.106,-1.995,1.287,0.167,-0.970,1.057
1,0.604,-0.878,-1.148,2.420,-0.823,2.039,0.890,0.256,-0.446,0.829,-0.043,-0.305
0,-0.176,0.967,0.701,-1.566,0.809,0.216,-0.150,-1.954,-0.285,-0.328,-0.659,-0.974
1,1.601,-0.195,0.839,1.719,-1.749,1.200,0.005,-0.056,0.113,-1.823,0.255,-0.455
0,1.585,1.646,0.218,-0.882,-0.551,-0.851,-0.583,1.214,1.239,-0.258,0.396,-1.090
1,-1.298,-0.808,-0.919,-0.521,0.597,0.620,-0.750,1.156,0.143,1.108,-0.039,-0.287
0,-0.279,-0.121,0.193,-0.396,-0.654,-1.723,-1.898,-0.482,-0.185,-0.319,0.315,-0.800
1,-0.378,-1.072,0.837,-2.955,0.970,0.920,0.571,1.217,-0.857,-2.046,-1.835,-0.352
0,0.019,-0.821,0.494,1.458,-1.661,1.577,0.400,-0.782,-0.855,-1.015,0.425,0.195
1,-1.320,0.078,0.870,-0.631,-0.303,-0.380,-0.746,0.142,0.035,2.281,-2.346,-0.525
0,-0.772,0.852,-0.272,-0.080,-0.273,0.001,-1.015,-0.152,1.568,0.093,-0.652,-1.001
1,-0.091,-1.576,1.346,-0.647,-0.486,1.183,0.486,1.185,0.924,-0.055,-0.797,1.897
0,0.071,-0.245,-0.036,1.044,-0.207,0.190,0.796,-0.106,-1.707,1.060,1.078,-0.968
1,0.402,-0.747,-0.476,1.317,-0.743,0.237,-0.871,-1.889,0.218,-0.974,-0.258,0.343
0,-0.540,0.199,-0.098,1.212,0.542,-0.308,-1.890,1.515,-0.453,-0.672,-2.768,-1.042
1,-0.480,2.549,0.066,0.044,-0.434,-2.171,2.824,-0.297,2.484,-0.215,-1.016,2.018
0,-0.226,0.371,0.376,-1.622,-0.473,0.756,1.314,1.639,0.524,0.068,-2.596,-0.590
1,1.000,0.158,-0.324,-1.226,-0.108,2.433,3.499,1.478,1.745,-0.680,-1.376,0.188
0,-1.359,0.436,-0.041,0.069,-1.761,-0.385,-0.964,0.982,0.289,0.356,-1.051,-0.742
1,-0.061,-1.235,0.335,0.758,0.038,-1.498,-0.300,1.840,0.661,-1.948,-0.087,-0.703
0,-2.215,0.140,1.251,-0.264,1.472,0.764,-0.396,-1.107,0.792,-0.220,-2.095,0.742
1,0.925,0.369,-0.696,0.304,-1.500,-1.934,1.280,0.378,0.580,0.240,-1.330,-2.402
0,0.023,-0.675,-0.723,-0.059,0.403,0.073,-0.035,-0.145,-1.240,-0.753,-1.095,0.058
1,1.042,2.468,-0.301,0.500,-1.288,-1.063,2.007,-0.363,-2.867,-0.675,0.704,1.646
0,1.151,0.960,-1.491,1.434,-0.914,-0.349,-0.050,-0.365,-0.420,-4.458,-0.266,0.279
1,0.193,3.404,-0.605,-1.325,-0.952,0.408,-0.713,0.516,-1.450,-0.291,-0.040,1.403
0,-0.027,-0.388,-0.987,0.914,-0.421,1.347,-0.254,-1.544,0.253,0.116,1.001,-0.199
1,-0.678,-1.099,1.957,-2.062,1.853,0.971,0.432,1.308,2.288,-1.284,-2.893,0.208
0,-3.192,-0.398,-1.078,0.041,-1.661,-1.401,-1.461,0.455,-0.839,-0.012,-0.316,-0.362
1,-0.097,0.073,0.152,-1.249,-0.755,-0.042,0.733,-0.271,1.951,-0.319,-0.296,-0.702
0,-1.760,0.370,-0.990,0.440,0.341,-1.781,0.360,-0.202,0.765,-0.447,-1.323,2.605
1,-0.936,-0.549,1.211,-0.356,-0.476,0.828,-0.620,0.132,0.284,-1.024,-0.700,0.656
0,0.550,2.671,0.358,-0.154,-0.426,0.288,0.216,-0.820,1.908,1.043,0.846,-0.651
1,1.549,-1.777,0.053,1.709,-0.119,0.989,-1.277,-0.622,2.036,-0.620,1.390,-0.310
0,-0.272,-1.029,-1.040,-0.305,-0.640,-2.882,-1.081,3.281,-0.428,-0.812,-1.445,-1.794
1,-1.642,0.737,1.359,0.897,-0.987,1.913,-0.524,0.549,0.173,-2.784,1.639,0.504
0,-0.491,-0.203,0.052,-1.610,-0.656,-0.461,2.243,2.137,1.675,0.052,-1.554,2.898
1,1.115,-0.001,0.012,2.742,0.602,2.341,-1.614,1.121,0.719,0.715,-1.040,0.844
0,0.053,-0.420,-0.971,-0.847,-0.891,-0.392,-1.093,-0.288,-1.218,0.734,-0.974,-0.158
1,-1.345,-0.073,-1.488,-2.265,0.590,-0.320,-1.095,-1.377,-0.633,0.272,-1.639,-2.042
0,-0.630,0.547,1.341,-0.147,-0.742,-0.706,0.458,-0.823,0.529,1.235,-0.051,1.783
1,0.671,0.820,-1.435,0.563,-0.705,-1.794,1.672,0.851,-0.739,1.213,0.111,-0.732
0,-0.153,0.913,0.074,-3.184,0.339,0.763,1.477,0.245,-1.204,0.170,-0.227,-0.489
1,0.808,-0.689,-0.554,1.555,-1.000,0.736,-1.870,-1.881,0.817,-1.662,-1.271,-1.270
0,-0.968,0.947,-1.204,0.289,-1.014,-1.181,-0.563,1.654,0.103,-3.789,0.594,-0.958
1,-0.771,-0.200,-0.810,0.401,0.800,0.334,-0.454,0.989,1.199,-1.650,0.107,-1.093
0,-0.795,0.490,2.720,-0.848,0.347,2.550,-1.029,0.029,0.374,-0.340,0.776,-1.791
1,1.032,-1.143,-0.729,-1.446,-0.664,-0.167,0.975,-0.914,1.599,-1.476,-1.361,-0.769
0,-0.040,0.703,-0.329,0.254,-0.083,1.880,1.858,0.568,-0.602,-0.783,-1.247,-2.142
1,-0.717,-0.257,-0.758,-0.158,-1.432,-0.094,-1.313,-1.625,2.069,-1.016,0.249,-0.280
0,-0.757,-0.287,-1.008,-0.076,1.278,-0.042,1.705,1.050,-1.314,0.310,-1.624,-0.992
1,-0.792,1.981,1.114,-0.139,1.686,0.329,-1.681,-1.424,0.029,0.491,0.092,-1.833
0,-0.707,0.257,1.593,0.617,-0.400,0.342,0.679,0.063,-1.627,-2.632,0.170,-1.524
1,0.839,-1.649,0.368,-0.041,0.787,1.565,-1.266,-1.191,0.228,-0.054,0.752,-0.380
0,0.268,0.091,1.377,1.056,-2.236,-0.087,-3.237,-1.497,-1.003,0.334,0.843,-0.859
1,-2.322,0.064,0.062,-0.836,0.496,1.554,1.334,-2.286,-0.513,-0.644,1.461,0.118
0,0.587,-0.331,-0.142,-1.852,-0.859,1.378,-0.903,0.573,1.636,-0.025,0.146,1.700
1,0.831,0.455,-0.631,0.437,1.397,1.312,-1.004,0.368,1.368,2.525,-1.407,0.277
0,-1.747,-1.051,-0.710,1.198,-2.255,-0.044,0.462,-0.134,-0.742,0.613,-1.571,-0.365
1,1.567,0.497,-2.352,-1.451,0.116,0.352,0.370,0.500,0.211,-0.151,-0.719,1.114
0,-2.045,-0.054,-0.125,-0.472,1.764,0.208,-0.981,0.705,0.822,0.993,-1.600,0.277
1,-2.614,-0.563,0.078,1.416,-0.481,-1.118,-0.670,1.136,0.643,1.710,1.055,0.307
0,-0.029,-0.086,1.066,-1.068,1.454,1.152,1.868,-2.262,-1.037,1.011,-0.478,1.066
1,0.500,0.139,-0.890,-0.885,-0.159,0.350,3.758,0.359,0.085,-0.382,-0.532,-2.069
0,-0.944,0.902,0.219,0.781,-0.790,-0.652,-1.110,-0.029,-1.056,-0.441,0.971,1.602
1,-1.358,-1.284,0.087,-0.535,-0.818,-0.040,-0.418,1.109,1.203,-2.298,0.623,-2.606
0,0.745,-0.505,-0.056,1.196,-0.374,-1.293,-2.228,-1.676,0.608,-0.816,-0.487,-0.546
1,-1.200,0.743,0.407,-0.451,0.837,-0.763,0.656,1.971,1.821,0.922,0.442,-1.434
0,-0.188,0.782,-0.144,0.297,1.185,-2.356,1.900,0.459,-0.742,-1.613,0.211,0.746
1,-1.233,-0.623,0.435,-0.289,1.381,-0.286,0.417,-1.450,-0.370,0.754,-0.749,-0.563
0,-1.456,2.148,-0.534,0.068,-0.460,0.955,0.893,1.335,0.196,-1.107,-0.664,0.119
1,0.628,-0.090,0.916,0.071,1.866,1.070,-2.510,0.366,1.101,-0.318,0.169,0.842
0,1.764,-1.853,0.618,0.441,0.384,-0.040,1.091,2.672,-1.332,1.387,2.209,-1.045
1,-1.376,0.745,1.218,1.315,1.030,0.012,0.498,-0.184,1.508,-2.399,-0.545,1.083
0,0.341,1.289,0.983,0.607,-0.427,0.302,-1.346,-0.571,-0.420,-0.630,-1.090,0.104
1,-1.105,0.181,0.972,1.983,1.487,-1.097,-1.936,-0.211,-1.418,0.186,-1.424,-0.138
0,-1.080,-0.527,-0.080,-1.586,0.178,0.511,-1.576,-0.680,0.778,0.120,-1.857,0.299
1,0.674,-0.332,-0.582,0.035,-0.616,1.990,-1.240,-0.096,0.461,0.688,0.014,0.226
0,-1.431,0.777,-0.030,0.296,-0.085,-1.813,-1.013,-1.152,0.915,-0.121,-1.016,-3.080
1,0.330,-1.439,-1.550,-3.905,0.582,0.435,-0.153,4.591,0.068,-1.607,0.594,-0.126
0,-0.528,-1.463,0.853,2.389,-0.255,0.608,-1.301,-2.352,0.793,0.317,0.385,2.252
1,-0.668,-0.956,-1.466,2.062,-1.123,1.066,0.015,0.343,0.152,0.953,1.420,-0.423
0,-0.852,0.019,1.862,-2.070,0.373,-0.525,1.441,-2.305,-0.695,0.472,-0.186,0.794
1,1.190,0.441,-0.883,-1.721,0.898,-1.084,1.433,-0.004,0.265,-0.157,-0.636,-0.565
0,1.253,0.364,-2.068,-0.624,-1.397,2.477,0.210,0.670,-1.041,-1.090,1.842,1.062
1,-0.787,2.184,1.959,0.273,-0.007,0.921,-0.845,0.518,-1.383,-0.958,1.084,-3.556
0,-0.777,1.218,-2.215,-0.249,1.009,1.211,2.175,-0.884,-0.516,0.573,-1.559,0.566
1,0.304,-2.210,1.113,-0.944,0.429,0.228,-0.102,1.843,-0.772,-0.863,-0.347,-1.237
0,-2.191,1.618,-1.584,0.595,0.123,-1.374,-1.208,1.363,-1.131,-0.015,-1.409,-0.710
1,-0.006,-0.565,-0.198,-1.603,0.127,-0.049,-1.483,-1.412,0.251,2.305,0.387,-0.932
0,-0.608,0.081,-1.365,0.397,0.598,1.509,-0.302,0.151,0.674,0.295,-0.026,0.163
1,-0.755,-0.926,2.173,1.281,0.442,0.681,-0.213,-1.914,0.852,-0.650,-0.701,0.373
0,2.217,-0.130,0.831,0.099,0.207,-0.613,1.096,1.929,0.348,1.831,0.354,-0.656
1,1.546,0.824,1.160,0.050,-0.383,-0.608,0.557,-0.378,2.717,-0.889,1.372,1.541
0,0.473,-0.095,-0.497,-0.325,-0.992,1.315,-1.404,1.201,-2.097,0.038,-1.296,-0.572
1,-0.637,-0.797,2.116,-1.535,1.317,0.169,3.503,-1.030,-2.023,0.395,0.403,1.112
0,1.181,0.059,-1.114,-1.048,0.075,-1.136,-4.177,-0.341,0.810,0.044,0.252,-0.139
1,-0.624,-0.243,0.205,0.370,1.533,4.390,-2.028,0.248,2.488,0.726,-0.391,0.110
0,-1.616,-0.544,-0.668,-0.346,-1.443,2.773,0.212,0.454,-0.490,0.368,0.253,-3.736
1,0.862,-0.628,1.529,-0.231,-0.094,-0.056,0.915,4.553,0.330,1.087,-0.088,0.456
0,-1.046,-1.471,-0.308,1.337,-1.686,-0.525,-0.683,-0.121,1.938,0.398,-0.350,0.248
1,0.529,-1.591,-0.021,1.452,0.786,-1.153,0.774,1.341,0.586,-1.171,0.499,0.235
0,-0.079,0.234,1.508,-1.200,-0.134,0.606,1.179,-0.733,0.005,0.109,-1.693,1.248
1,0.111,-0.598,-0.933,2.493,2.143,0.750,-0.449,0.537,-0.345,0.037,-0.940,-1.126
0,0.964,0.904,-0.619,-0.347,-0.758,-0.323,-0.993,0.684,-0.370,-1.714,0.814,0.413
1,0.775,0.296,0.283,-0.236,0.494,0.028,-0.729,-1.348,-0.781,0.736,0.528,-1.744
0,0.509,0.762,-0.389,-1.144,-1.326,-0.337,-0.793,-1.668,-0.709,0.125,-1.001,-0.897
1,-1.412,1.700,0.261,-1.518,-0.881,0.045,0.859,1.872,2.999,-0.277,-0.474,0.593
0,0.548,1.302,0.102,-0.793,-1.160,0.336,0.065,1.534,-1.407,-1.240,-1.745,0.209
1,-0.688,0.204,-2.272,-0.076,-0.357,-1.045,-1.092,1.289,1.123,-0.862,-0.438,-0.376
0,-1.339,0.552,-0.281,-1.309,1.284,-1.329,-0.068,-0.210,-1.121,0.907,-0.091,0.238
1,-0.292,0.354,1.032,0.594,0.072,0.819,-1.039,-0.276,1.134,-0.251,-0.550,-1.126
0,0.783,0.819,-0.364,-0.538,0.157,-0.901,1.326,0.506,-0.581,2.370,-0.389,-0.324
1,-0.885,-0.142,-0.299,1.988,0.653,0.276,0.264,-1.410,-0.167,-1.079,0.732,1.253
0,0.189,-1.090,-0.267,-0.807,-1.782,-0.082,-0.033,1.206,-0.307,-0.149,1.188,-1.219
1,-2.305,0.768,1.041,1.346,-1.683,-1.004,1.463,1.200,-2.751,-1.959,0.271,0.634
0,-0.227,0.022,-0.488,-1.579,0.726,-1.067,-1.403,2.444,0.829,-0.601,-0.814,0.476
1,-1.115,0.035,-0.384,-0.539,-0.764,1.670,-0.009,2.582,0.825,-4.009,-2.205,-0.943
0,-0.696,0.141,-0.329,-1.175,-0.770,-0.142,-0.596,-2.207,-0.750,0.217,1.230,-1.362
